Evento;Fecha y hora;Coordenadas;Profundidad;Magnitud;Provincia
es2020axtss;14-1-2020 0:01;36.5194 -5.0705;19;2.3;29
es2020aybae;14-1-2020 3:42;39.8266 -0.5759;4;2.3;12
es2020aybom;14-1-2020 3:58;37.4486 -3.7974;8;2.0;23
es2020ayigq;14-1-2020 7:21;36.6523 -4.602;79;2.2;29
es2020ayjyh;14-1-2020 8:12;36.294 -7.5929;11;2.4;21
es2020aylxg;14-1-2020 9:12;28.3585 -14.5367;8;2.2;35
es2020aypiz;14-1-2020 10:56;38.548 -8.0102;;1.9;6
es2020azhhb;14-1-2020 20:00;28.9706 -14.2202;13;2.3;35
es2020azrec;15-1-2020 0:59;39.3023 -10.312;27;3.5;10
es2020azrgm;15-1-2020 1:02;38.1251 -1.3123;;2.0;30
es2020baadi;15-1-2020 5:31;36.9641 3.8102;20;2.8;7
es2020baahl;15-1-2020 5:36;36.9984 3.6842;16;3.6;7
es2020bafrp;15-1-2020 8:19;36.713 -5.3286;20;1.9;11
es2020bafua;15-1-2020 8:22;38.7155 -7.949;1;2.1;6
es2020bamjs;15-1-2020 11:42;36.9221 -3.745;1;1.8;18
es2020bawyg;15-1-2020 17:02;37.0812 -5.5705;23;2.3;41
es2020bbabq;15-1-2020 18:37;37.8642 -1.4045;8;1.5;30
es2020bbbhu;15-1-2020 19:15;39.1873 -2.7425;12;1.7;13
es2020bbjlm;15-1-2020 23:21;40.0457 -0.5582;2;2.2;12
es2020bbntg;16-1-2020 1:32;37.948 -8.1653;7;2.3;21
es2020bbonc;16-1-2020 1:55;36.727 -5.4535;7;2.4;11
es2020bbslq;16-1-2020 3:54;41.6445 2.0014;;1.6;8
es2020bbtsy;16-1-2020 4:33;34.3929 -4.3585;;3.0;52
es2020bbtus;16-1-2020 4:35;37.0105 -3.8428;;2.5;18
es2020bbwjc;16-1-2020 5:53;37.6897 -7.821;20;2.2;21
es2020bcion;16-1-2020 12:03;35.1791 -2.1506;;2.8;52
es2020bcruk;16-1-2020 16:42;37.0798 -4.3463;22;2.0;29
es2020bdirr;17-1-2020 1:14;37.145 -3.7103;2;1.7;18
es2020bdkyr;17-1-2020 2:23;36.1286 -13.918;26;3.9;21
es2020bdmwx;17-1-2020 3:22;36.2009 -3.4805;6;2.3;18
es2020bdodh;17-1-2020 3:59;28.0346 -16.3848;25;1.6;38
es2020bdouv;17-1-2020 4:20;39.2543 -0.4257;5;2.9;46
es2020bdpgf;17-1-2020 4:33;39.2103 -0.4789;2;2.0;46
es2020bdpyp;17-1-2020 4:54;36.9792 -4.9571;1;1.5;29
es2020bdrib;17-1-2020 5:36;37.1755 -3.1681;1;2.0;18
es2020bdsbq;17-1-2020 5:59;39.2245 -0.4292;19;2.1;46
es2020bdvdz;17-1-2020 7:32;28.2157 -16.3029;25;1.7;38
es2020befyc;17-1-2020 12:59;39.2417 -0.414;11;2.3;46
es2020bejxq;17-1-2020 15:00;39.2401 -0.4453;5;1.9;46
es2020bepna;17-1-2020 17:49;34.6701 -8.6896;22;3.1;21
es2020bespq;17-1-2020 19:23;38.8206 -1.8309;2;2.4;2
es2020beuvg;17-1-2020 20:30;39.2505 -0.518;3;1.9;46
es2020bexux;17-1-2020 22:01;37.0997 -3.8171;1;3.2;18
es2020beyua;17-1-2020 22:30;40.0108 -0.5541;1;2.7;12
es2020bfgep;18-1-2020 2:14;38.6334 -6.9684;1;2.0;6
es2020bflxy;18-1-2020 5:08;40.0216 -0.5521;2;2.3;12
es2020bfnoa;18-1-2020 5:58;43.014 0.2347;;2.1;22
es2020bfzox;18-1-2020 12:02;42.7589 2.356;;1.6;17
es2020bgbam;18-1-2020 12:46;37.0979 -1.847;;2.1;4
es2020bgdpp;18-1-2020 14:04;36.7348 -5.3266;11;1.6;11
es2020bgqfk;18-1-2020 20:26;37.3666 -8.4754;;2.0;21
es2020bgrwg;18-1-2020 21:16;36.8628 -4.8817;17;2.0;29
es2020bgrwr;18-1-2020 21:17;36.8458 -4.9583;24;2.2;29
es2020bgutt;18-1-2020 22:44;35.1187 -3.2018;;2.6;52
es2020bguww;18-1-2020 22:48;36.6206 -11.315;50;3.4;21
es2020bgwvy;18-1-2020 23:48;36.8661 -5.647;;3.0;11
es2020bgzqa;19-1-2020 1:11;36.856 -5.6598;15;2.0;11
es2020bgzre;19-1-2020 1:13;36.8969 -5.6355;21;1.6;11
es2020bhbwm;19-1-2020 2:20;34.0019 -6.6334;7;3.2;11
es2020bhisg;19-1-2020 5:47;27.7491 -18.2155;35;2.3;38
es2020bhpsf;19-1-2020 9:19;36.8754 -5.6704;19;1.9;11
es2020bilrv;19-1-2020 20:25;38.2317 -7.9471;6;2.5;6
es2020bimhl;19-1-2020 20:44;35.5197 -3.7576;9;2.4;52
es2020bimkz;19-1-2020 20:48;36.2725 -8.9398;4;2.3;21
es2020biogj;19-1-2020 21:43;38.4599 -7.9955;13;2.1;6
es2020bivfy;20-1-2020 1:15;38.8342 -2.7868;;2.0;13
es2020bizxh;20-1-2020 3:36;27.8418 -15.8679;24;2.0;35
es2020bjulv;20-1-2020 13:59;36.9577 -5.1833;9;2.0;41
es2020bkfvz;20-1-2020 19:44;37.8789 -3.2357;2;2.1;23
es2020bkixw;20-1-2020 21:17;36.0742 -6.8686;4;3.7;11
es2020blejx;21-1-2020 8:08;42.81 -9.7048;3;2.6;15
es2020bletz;21-1-2020 8:20;37.2133 -3.6789;;1.6;18
es2020blhnh;21-1-2020 9:43;36.3363 -8.1351;6;3.7;21
es2020blpqp;21-1-2020 13:49;42.6096 2.2917;;2.1;17
es2020blrkq;21-1-2020 14:43;37.2945 -8.5565;2;1.7;21
es2020blvaz;21-1-2020 16:33;40.4432 -0.1131;12;2.3;12
es2020blwwz;21-1-2020 17:29;35.4429 -3.7045;1;2.4;52
es2020blyly;21-1-2020 18:16;37.3443 -8.4384;4;2.2;21
es2020bmbxn;21-1-2020 20:01;39.0636 -0.5016;5;2.2;46
es2020bmuvc;22-1-2020 5:34;36.7542 -9.5736;32;2.8;21
es2020bmzoo;22-1-2020 7:58;39.4789 -1.557;1;2.2;16
es2020bnywu;22-1-2020 20:45;41.6831 2.6179;;2.0;8
es2020bnzcb;22-1-2020 20:51;36.7362 -5.4927;;1.8;11
es2020bogjy;23-1-2020 0:33;38.2445 0.9839;18;2.3;7
es2020boiwy;23-1-2020 1:48;36.522 -9.9007;14;3.3;21
es2020bojov;23-1-2020 2:09;36.5991 -7.5522;8;2.2;21
es2020bopxh;23-1-2020 5:21;43.0654 -0.6079;;2.6;22
es2020boxst;23-1-2020 9:18;36.8922 -5.4619;5;1.8;11
es2020bpben;23-1-2020 11:03;28.0108 -16.2866;4;1.7;38
es2020bpcpc;23-1-2020 11:45;33.8055 -6.7401;9;3.1;11
es2020bpmes;23-1-2020 16:38;42.4502 1.7276;10;1.6;17
es2020bpvph;23-1-2020 21:12;37.3241 -8.6268;17;1.8;21
es2020bpwri;23-1-2020 21:54;42.7916 2.4276;;1.6;17
es2020bpzmu;23-1-2020 23:20;42.1136 -7.1813;;1.9;32
es2020bpzue;23-1-2020 23:28;36.8853 -8.3025;20;2.0;21
es2020bqfem;24-1-2020 2:12;38.1704 -8.2878;11;1.8;21
es2020bqhmz;24-1-2020 3:22;42.7667 2.2905;;1.8;17
es2020bqhru;24-1-2020 3:28;27.9608 -16.2451;2;1.6;38
es2020bqhse;24-1-2020 3:28;43.0904 -0.0442;1;1.7;22
es2020bqijm;24-1-2020 3:49;36.4728 -4.2046;;1.6;29
es2020bqpmc;24-1-2020 7:24;36.6957 5.7804;;4.9;7
es2020bqruc;24-1-2020 8:34;36.5283 -7.4293;1;1.8;21
